id_arret,date_heure,duree,type,raison,id_camion,id_conducteur
489ebb18,2025-01-01 00:00:00,0:34:00,Pause,Vidange,10,01ccb423
42dc2bbd,2025-01-02 00:00:00,1:03:00,Maintenance,Pause déjeuner,56,30827221
3d29dc93,2025-01-03 00:00:00,1:42:00,Panne,Vidange,40,0669e30b
1a93fca8,2025-01-04 00:00:00,1:45:00,Panne,Pause déjeuner,14,a28d354d
8b0ad681,2025-01-05 00:00:00,0:37:00,Maintenance,Crevaison,78,01ccb423
828d90f8,2025-01-06 00:00:00,0:15:00,Pause,Pause déjeuner,11,3d2e14bb
b45bda29,2025-01-07 00:00:00,1:29:00,Maintenance,Crevaison,21,b2223d0b
dd8dfd1f,2025-01-08 00:00:00,0:20:00,Maintenance,Crevaison,22,01804c80
e1bef22f,2025-01-09 00:00:00,1:44:00,Maintenance,Vidange,51,03a20663
186a50a3,2025-01-10 00:00:00,1:10:00,Panne,Crevaison,59,5fb745b7
233cb959,2025-01-11 00:00:00,0:32:00,Maintenance,Pause déjeuner,84,655c701d
f09ff492,2025-01-12 00:00:00,1:50:00,Panne,Réparation moteur,92,d1e2a98e
a766fb9e,2025-01-13 00:00:00,0:45:00,Maintenance,Réparation moteur,48,ce4563d9
2a881548,2025-01-14 00:00:00,0:10:00,Pause,Pause déjeuner,37,371bc1b7
a18cb07e,2025-01-15 00:00:00,1:52:00,Maintenance,Crevaison,67,6ac9bb10
31a03e92,2025-01-16 00:00:00,1:55:00,Maintenance,Réparation moteur,68,7e51b696
6e194d90,2025-01-17 00:00:00,0:40:00,Pause,Vidange,22,b18b27f2
8fd2ec45,2025-01-18 00:00:00,1:28:00,Panne,Réparation moteur,98,380055c7
36fc1d79,2025-01-19 00:00:00,1:15:00,Panne,Crevaison,90,b427bd41
7f71ca01,2025-01-20 00:00:00,1:06:00,Maintenance,Pause déjeuner,92,a65e5880
53026617,2025-01-21 00:00:00,1:25:00,Panne,Pause déjeuner,46,c04eeced
caec09ee,2025-01-22 00:00:00,1:18:00,Maintenance,Vidange,19,bff0c0c7
b4242300,2025-01-23 00:00:00,1:04:00,Maintenance,Vidange,38,6023f930
9e93b8e0,2025-01-24 00:00:00,0:18:00,Maintenance,Crevaison,4,655c701d
57409c2f,2025-01-25 00:00:00,1:56:00,Pause,Réparation moteur,10,1aad3067
e2f8804b,2025-01-26 00:00:00,0:48:00,Maintenance,Crevaison,45,6a9c4243
80eaa21c,2025-01-27 00:00:00,0:48:00,Pause,Pause déjeuner,10,339b7726
4f2fbb3e,2025-01-28 00:00:00,1:25:00,Panne,Vidange,88,b29d6090
69fd1668,2025-01-29 00:00:00,1:05:00,Maintenance,Vidange,72,d6e8ab98
c12c2402,2025-01-30 00:00:00,0:19:00,Maintenance,Vidange,64,412b4d03
4f4061e3,2025-01-31 00:00:00,1:00:00,Panne,Réparation moteur,26,339b7726
6a88c805,2025-02-01 00:00:00,1:17:00,Pause,Vidange,94,1fdd797e
7ef49e1d,2025-02-02 00:00:00,0:42:00,Maintenance,Crevaison,81,d2fe3aa5
f037fdc9,2025-02-03 00:00:00,1:47:00,Panne,Pause déjeuner,14,d9172b9b
34046d1c,2025-02-04 00:00:00,0:46:00,Pause,Vidange,79,3dc7d423
