id_camion,matricule,capacite,modele
1,847773,22.86,Mercedes
2,997698,22.033,Mercedes
3,838926,13.241,Mercedes
4,554823,15.22,MAN
5,223978,19.461,MAN
6,240616,16.085,Iveco
7,249050,25.993,Iveco
8,194824,28.28,Iveco
9,920055,11.884,Iveco
10,165787,10.155,MAN
11,936490,12.59,Mercedes
12,336212,26.197,MAN
13,520657,27.484,MAN
14,136684,25.402,Iveco
15,246150,11.887,MAN
16,312639,23.831,Iveco
17,641997,10.579,Iveco
18,774777,13.117,MAN
19,545303,11.821,Iveco
20,873730,19.959,MAN
21,354247,24.292,Iveco
22,708050,14.1,MAN
23,382727,13.321,MAN
24,957242,13.607,MAN
25,144263,28.325,MAN
26,412330,28.032,Volvo
27,214084,10.461,Mercedes
28,701832,11.151,Volvo
29,511905,29.418,Mercedes
30,460441,15.606,Iveco
31,758917,25.543,Mercedes
32,957491,23.741,Volvo
33,189403,28.331,Volvo
34,812182,14.978,MAN
35,646657,10.356,Iveco
36,727828,12.94,MAN
37,424141,16.672,Iveco
38,253471,10.719,Iveco
39,923112,13.598,Mercedes
40,480968,13.062,MAN
41,346048,12.068,Mercedes
42,117235,15.013,Volvo
43,104298,25.893,Mercedes
44,716896,13.462,MAN
45,942182,11.68,Mercedes
46,775532,26.135,MAN
47,567730,10.753,Mercedes
48,719824,17.765,MAN
49,526398,14.148,MAN
50,341167,25.99,Volvo
51,911106,27.343,Iveco
52,318045,12.281,Mercedes
53,889195,21.174,Volvo
54,854672,28.243,MAN
55,965379,18.356,Iveco
56,600329,13.002,Volvo
57,283714,29.137,Volvo
58,136888,21.628,Iveco
59,465510,17.18,Volvo
60,841650,12.32,MAN
61,760468,14.985,Volvo
62,992990,13.359,Iveco
63,956134,20.26,MAN
64,679776,28.478,MAN
65,134109,25.702,Volvo
66,577336,20.519,Volvo
67,690927,25.634,MAN
68,508262,12.879,Iveco
69,479582,26.646,Volvo
70,668100,17.527,MAN
71,720290,19.072,Volvo
72,358518,16.47,Mercedes
73,677179,13.994,Iveco
74,778470,13.513,MAN
75,317764,19.705,MAN
76,889865,14.154,Iveco
77,442478,29.244,MAN
78,211533,16.329,Iveco
79,827343,28.243,MAN
80,111021,21.378,Iveco
81,126518,25.82,MAN
82,159238,15.224,Volvo
83,527729,15.205,Iveco
84,383596,25.39,MAN
85,428232,22.487,MAN
86,365739,22.909,Mercedes
87,647695,10.448,Volvo
88,605816,27.676,MAN
89,862024,24.657,MAN
90,753302,20.158,MAN
91,486260,14.514,Mercedes
92,511009,16.514,MAN
93,416160,14.619,Volvo
94,372690,29.038,Iveco
95,363250,10.174,MAN
96,385143,18.525,MAN
97,300261,24.674,Iveco
98,594724,14.416,Iveco
99,836339,21.439,Iveco
100,446505,24.946,MAN
