id_qualite,categorie,nom_de_produit,granulometrie,taux_phosphate,humidite
4f220779,Enrichi,Phosphate lavé,1.31,64.85,6.67
3a618a0a,Lavé,Phosphate enrichi,4.08,77.41,9.89
890cb7ac,Lavé,Phosphate enrichi,4.63,77.96,4.38
054c9e0b,Enrichi,Phosphate lavé,1.74,53.5,1.74
f9499749,Brut,Phosphate enrichi,4.55,63.48,2.15
574e6960,Enrichi,Phosphate brut,4.01,57.19,4.34
7df0e028,Enrichi,Phosphate enrichi,0.92,69.85,8.13
e41bd83a,Brut,Phosphate lavé,3.42,64.79,4.62
e19b6e88,Lavé,Phosphate enrichi,0.16,74.72,1.85
24d0793a,Lavé,Phosphate enrichi,0.59,50.83,6.58
d907f127,Lavé,Phosphate lavé,2.32,60.96,1.96
a37f3045,Enrichi,Phosphate enrichi,0.83,63.21,3.63
3ca89f1e,Lavé,Phosphate lavé,4.64,62.61,2.78
ec3443eb,Enrichi,Phosphate brut,0.28,78.63,1.77
a16ba200,Brut,Phosphate enrichi,0.33,57.35,5.56
b767e1b1,Enrichi,Phosphate enrichi,1.13,74.09,1.47
625a5486,Lavé,Phosphate lavé,0.83,52.37,9.58
347038b5,Lavé,Phosphate lavé,0.77,72.69,7.06
29e47592,Enrichi,Phosphate enrichi,4.35,62.76,4.47
9f238e2c,Brut,Phosphate enrichi,3.13,61.63,4.17
a80b2555,Brut,Phosphate enrichi,1.3,76.93,1.08
a6762039,Lavé,Phosphate brut,4.49,59.94,9.25
be3cbee8,Enrichi,Phosphate brut,3.69,60.29,1.68
04180fcb,Brut,Phosphate enrichi,2.22,54.56,5.08
0f213a02,Enrichi,Phosphate lavé,4.54,61.95,1.41
3ded4abe,Brut,Phosphate brut,2.55,61.87,7.75
b8dada61,Brut,Phosphate enrichi,4.38,59.27,8.39
10773c87,Lavé,Phosphate brut,1.57,77.66,1.39
701ebf9e,Enrichi,Phosphate brut,4.08,77.04,1.09
b0b83121,Enrichi,Phosphate brut,3.33,63.31,5.97
c6e85528,Enrichi,Phosphate brut,4.99,51.94,2.51
a606d69c,Brut,Phosphate enrichi,1.12,67.37,3.23
9a9db488,Lavé,Phosphate lavé,3.61,64.74,3.65
7c1834ab,Brut,Phosphate brut,4.63,77.59,1.3
bb618fa4,Lavé,Phosphate enrichi,0.87,61.65,4.92
9260f7ec,Enrichi,Phosphate brut,1.78,70.45,8.29
15a2cfda,Enrichi,Phosphate brut,4.03,78.58,6.75
6659f97c,Brut,Phosphate enrichi,1.88,59.47,1.8
f2dd6a79,Brut,Phosphate brut,0.47,52.08,1.98
7f75bb94,Brut,Phosphate lavé,2.24,51.33,1.79
da8e3ea6,Enrichi,Phosphate lavé,2.24,61.17,5.3
b96e1174,Brut,Phosphate enrichi,4.53,53.14,9.73
eb047744,Lavé,Phosphate brut,3.48,67.6,8.9
47a5ccaa,Brut,Phosphate brut,0.6,70.38,1.54
559251d5,Lavé,Phosphate enrichi,2.59,50.91,3.39
8cef307c,Brut,Phosphate lavé,2.3,70.43,3.55
670969fb,Enrichi,Phosphate brut,3.04,57.2,7.22
83636ba1,Brut,Phosphate enrichi,3.06,73.05,8.74
dc70edf2,Lavé,Phosphate lavé,0.92,57.6,6.72
b219b35c,Brut,Phosphate enrichi,1.4,78.46,6.25
d96887f9,Lavé,Phosphate enrichi,4.8,63.08,5.29
41dbf458,Brut,Phosphate enrichi,1.5,51.99,8.31
69af09aa,Lavé,Phosphate brut,2.43,69.76,7.44
c8fa2414,Brut,Phosphate enrichi,1.36,59.48,2.97
71a6b8d2,Lavé,Phosphate lavé,4.23,75.57,7.82
e58f569d,Brut,Phosphate enrichi,4.67,77.77,3.84
51ae5b06,Brut,Phosphate enrichi,3.95,77.16,4.9
07986a1f,Brut,Phosphate enrichi,1.83,55.99,4.75
f554a9a2,Lavé,Phosphate enrichi,3.43,56.51,1.75
83972355,Brut,Phosphate lavé,1.51,63.97,7.87
a340f918,Lavé,Phosphate lavé,3.4,75.32,4.74
304096a6,Lavé,Phosphate lavé,3.59,56.57,2.3
9b769ed2,Brut,Phosphate lavé,4.42,70.11,4.27
ec1824dc,Enrichi,Phosphate lavé,4.39,57.59,9.05
a70518e9,Lavé,Phosphate brut,2.12,54.48,9.39
bf170c49,Enrichi,Phosphate lavé,4.78,75.15,5.43
e92812e9,Enrichi,Phosphate enrichi,3.82,75.3,4.56
6e9b4c19,Lavé,Phosphate brut,1.41,68.84,5.27
0688e787,Brut,Phosphate enrichi,0.72,64.68,9.54
368e4bd9,Enrichi,Phosphate brut,4.14,51.27,1.82
40d315a9,Brut,Phosphate lavé,1.55,60.4,5.57
365dacf7,Lavé,Phosphate lavé,2.97,51.23,7.14
fd801947,Lavé,Phosphate enrichi,2.88,60.3,7.48
73e39287,Enrichi,Phosphate brut,3.33,54.69,2.29
