id_voyage,date,heure_depart,heure_arrive,distance_km,id_conducteur,id_camion,id_site,quantite_transporte,id_qualite
274a86db,2025-01-01,15:00:00,20:00:00,98.75,f282e812,67,778e25a4,7,7327bde4
e7d039e1,2025-01-02,15:00:00,19:00:00,47.26,bd9d4820,29,86d1576c,25,0f11dbc1
3b81460a,2025-01-03,16:00:00,19:00:00,106.73,d6279cfc,93,3a151eb0,15,3cf9ce7c
d46d5454,2025-01-04,14:00:00,18:00:00,110.43,a327e244,61,778e25a4,23,d25d5914
5af90bef,2025-01-05,09:00:00,12:00:00,194.57,a65bdadb,79,6af14fbf,26,dc16c269
6d4a2a7e,2025-01-06,13:00:00,18:00:00,156.35,00671a6e,10,6af14fbf,11,b5cf9c8b
feae845c,2025-01-07,10:00:00,15:00:00,97.72,8b23d9b4,27,778e25a4,30,390440f2
b2f65930,2025-01-08,13:00:00,15:00:00,154.41,a327e244,19,6af14fbf,19,932d4011
d18f8cc4,2025-01-09,16:00:00,19:00:00,40.97,ef904fe6,13,778e25a4,19,8504dd12
2173b79b,2025-01-10,08:00:00,10:00:00,78.91,798651b9,35,86d1576c,8,4627c999
87923574,2025-01-11,10:00:00,11:00:00,67.62,2c0ceb5e,68,778e25a4,6,b531f887
fff0cdf7,2025-01-12,14:00:00,15:00:00,151.07,b2533a07,35,1e01e37b,27,cc849984
2a356de1,2025-01-13,10:00:00,13:00:00,34.48,f61cf5bd,50,6af14fbf,18,5710a2f9
565d34a5,2025-01-14,16:00:00,20:00:00,25.42,fdea4fe4,64,778e25a4,11,0f11dbc1
70a2ad2b,2025-01-15,10:00:00,12:00:00,67.13,67126ef4,97,3a151eb0,5,3e4f9f00
3bb411d3,2025-01-16,10:00:00,14:00:00,72.06,636ae2ef,67,86d1576c,23,bb35231e
7c3e457d,2025-01-17,12:00:00,15:00:00,100.9,3f95739c,51,6af14fbf,8,bb35231e
f94c71a8,2025-01-18,10:00:00,12:00:00,82.98,d5b1c002,66,6af14fbf,8,b355cdd3
70a3eac7,2025-01-19,13:00:00,14:00:00,157.25,92b46531,49,3a151eb0,5,4a08723a
bef2cef9,2025-01-20,09:00:00,11:00:00,158.4,9c790dba,58,6af14fbf,12,70ffa39e
b591751d,2025-01-21,15:00:00,18:00:00,15.73,dba99129,31,778e25a4,19,b4dfaf22
314b176c,2025-01-22,13:00:00,17:00:00,65.0,9c502540,28,6af14fbf,8,b355cdd3
